order_id,store_name,created_At,packaged_time,total
QC_IN_408-2473916-3761134,TML7,2026-05-18T13:44:53.000Z,1779092219799,7
QC_IN_403-2467238-6560321,TMK6,2026-05-18T13:49:02.000Z,1779092470104,10
QC_IN_407-0743205-9700368,TML7,2026-05-18T13:43:29.000Z,1779092297720,13
QC_IN_407-0504817-6132367,TMK6,2026-05-18T13:51:37.000Z,1779092540134,1
QC_IN_406-7590782-6833106,TMK6,2026-05-18T13:46:45.000Z,1779092328886,2
QC_IN_405-0750013-1755517,TMK6,2026-05-18T13:46:32.000Z,1779092252858,1
QC_IN_406-3116671-7905136,TML7,2026-05-18T13:38:42.000Z,1779091888963,11
QC_IN_403-8964609-8844346,TML7,2026-05-18T13:36:20.000Z,1779091659977,2
QC_IN_402-6633016-5546701,TML7,2026-05-18T13:40:00.000Z,1779091961396,5
QC_IN_408-3341755-6807530,TMK6,2026-05-18T13:43:22.000Z,1779092041860,1
QC_IN_408-8596143-5352367,TML7,2026-05-18T13:43:52.000Z,1779092121294,1
QC_IN_403-2385902-0253933,TML7,2026-05-18T13:39:11.000Z,1779091932951,5
QC_IN_171-2941925-9886703,TML7,2026-05-18T13:39:34.000Z,1779091915125,3
QC_IN_406-4611745-5039529,TML7,2026-05-18T13:39:03.000Z,1779091863922,3
QC_IN_407-7398925-6266761,TMK6,2026-05-18T13:42:55.000Z,1779092048166,4
QC_IN_406-7695252-7172312,TML7,2026-05-18T13:38:25.000Z,1779091777950,2
QC_IN_407-7022909-0405143,TML7,2026-05-18T13:37:52.000Z,1779091770605,6
QC_IN_407-1559491-5057925,TMK6,2026-05-18T13:35:27.000Z,1779091833952,2
QC_IN_171-1181669-9629926,TMK6,2026-05-18T13:31:29.000Z,1779091688838,8
QC_IN_408-3040235-0017969,TMK6,2026-05-18T13:38:49.000Z,1779091835745,1
QC_IN_405-3562415-6139555,TMK6,2026-05-18T13:36:28.000Z,1779091801321,4
QC_IN_403-3929255-9125120,TMK6,2026-05-18T13:34:18.000Z,1779091735680,3
QC_IN_405-7738571-9299537,TML7,2026-05-18T13:34:33.000Z,1779091528370,1
QC_IN_403-9779561-0037149,TML7,2026-05-18T13:35:12.000Z,1779091583787,1
QC_IN_171-7806488-4710762,TMK6,2026-05-18T13:35:03.000Z,1779091818681,1
QC_IN_408-3480195-5512360,TML7,2026-05-18T13:19:30.000Z,1779090685811,3
QC_IN_408-5727018-9470720,TML7,2026-05-18T13:29:05.000Z,1779091196215,1
QC_IN_402-0905798-8545911,TMK6,2026-05-18T13:29:55.000Z,1779091268362,3
QC_IN_171-5073614-5181157,TML7,2026-05-18T13:23:18.000Z,1779090994762,10
QC_IN_404-9509267-6977960,TMK6,2026-05-18T13:23:12.000Z,1779090869356,3
QC_IN_403-0216231-3964369,TML7,2026-05-18T13:26:27.000Z,1779091040761,2
QC_IN_404-0177235-4474765,TMK6,2026-05-18T13:26:11.000Z,1779091130688,1
QC_IN_408-8423666-0141919,TML7,2026-05-18T13:10:24.000Z,1779090098330,4
QC_IN_408-2184333-1587533,TML7,2026-05-18T13:25:59.000Z,1779091028432,2
QC_IN_407-3126412-3448342,TML7,2026-05-18T13:20:24.000Z,1779090827938,15
QC_IN_405-1357682-0797968,TMK6,2026-05-18T13:15:30.000Z,1779090415179,1
QC_IN_171-8754477-7714719,TML7,2026-05-18T13:28:21.000Z,1779091150108,1
QC_IN_404-6441896-6017949,TML7,2026-05-18T13:19:48.000Z,1779090627560,1
QC_IN_407-7089062-4624347,TML7,2026-05-18T13:20:23.000Z,1779090698417,2
QC_IN_407-2312100-1393923,TMK6,2026-05-18T13:18:50.000Z,1779090584343,1
QC_IN_404-0883206-5102767,TMK6,2026-05-18T13:19:59.000Z,1779090698404,2
QC_IN_404-3558944-7067537,TML7,2026-05-18T13:21:22.000Z,1779090783712,3
QC_IN_404-4359336-3955538,TML7,2026-05-18T13:22:28.000Z,1779090817567,1
QC_IN_405-2266805-2266740,TML7,2026-05-18T13:23:37.000Z,1779090951627,1
QC_IN_402-4322739-1125969,TMK6,2026-05-18T13:14:36.000Z,1779090376620,1
QC_IN_402-0385998-0003543,TML7,2026-05-18T13:18:52.000Z,1779090605405,2
QC_IN_408-5749936-3711520,TML7,2026-05-18T13:06:30.000Z,1779089898118,2
QC_IN_404-8357929-9485968,TMK6,2026-05-18T13:15:03.000Z,1779090556188,11
QC_IN_405-8124527-2739567,TML7,2026-05-18T13:16:41.000Z,1779090599407,1
QC_IN_402-1712134-9381900,TMK6,2026-05-18T13:17:18.000Z,1779090515587,3
QC_IN_404-0103138-8757903,TML7,2026-05-18T13:17:04.000Z,1779090495131,2
QC_IN_403-9882216-3801937,TMK6,2026-05-18T13:15:45.000Z,1779090530678,2
QC_IN_405-0520194-3664330,TML7,2026-05-18T13:14:30.000Z,1779090458574,6
QC_IN_402-2981529-0666723,TML7,2026-05-18T13:13:22.000Z,1779090384297,4
QC_IN_171-8820070-1311528,TML7,2026-05-18T13:14:08.000Z,1779090411633,9
QC_IN_405-4093471-9399546,TMK6,2026-05-18T13:14:28.000Z,1779090350176,3
QC_IN_403-1533717-3999564,TML7,2026-05-18T13:14:24.000Z,1779090330693,2
QC_IN_171-6263769-0951543,TML7,2026-05-18T13:15:47.000Z,1779090446678,1
QC_IN_407-3532893-8754743,TML7,2026-05-18T13:10:26.000Z,1779090086005,1
QC_IN_405-6985015-3136317,TMK6,2026-05-18T13:14:02.000Z,1779090339401,5
QC_IN_171-0508869-6520305,TMK6,2026-05-18T13:14:35.000Z,1779090383991,3
QC_IN_404-8911735-3703521,TMK6,2026-05-18T13:13:41.000Z,1779090270796,2
QC_IN_402-2058930-6884347,TML7,2026-05-18T13:00:14.000Z,1779089591293,2
QC_IN_403-5802072-8657966,TMK6,2026-05-18T13:11:10.000Z,1779090106679,1
QC_IN_171-2518234-2549111,TMK6,2026-05-18T13:13:23.000Z,1779090238663,1
QC_IN_405-0168656-8845915,TMK6,2026-05-18T13:05:23.000Z,1779089788595,1
QC_IN_403-7593959-6244314,TML7,2026-05-18T13:09:46.000Z,1779090039898,1
QC_IN_407-0651470-7905112,TMK6,2026-05-18T13:02:19.000Z,1779089607838,1
QC_IN_171-8330807-3709927,TMK6,2026-05-18T13:05:58.000Z,1779089816134,3
QC_IN_403-7437121-5204316,TML7,2026-05-18T13:08:18.000Z,1779089961410,1
QC_IN_171-0127413-2409155,TMK6,2026-05-18T12:58:51.000Z,1779089565213,8
QC_IN_402-1012501-2797961,TMK6,2026-05-18T13:07:00.000Z,1779089895532,3
QC_IN_406-3001014-4018769,TMK6,2026-05-18T13:05:05.000Z,1779089946989,5
QC_IN_405-2017963-6321961,TML7,2026-05-18T13:06:18.000Z,1779089834908,1
QC_IN_406-7606582-0622765,TML7,2026-05-18T12:54:40.000Z,1779089199965,1
QC_IN_171-6745539-9778709,TML7,2026-05-18T12:57:30.000Z,1779089337563,4
QC_IN_406-4677132-2385131,TML7,2026-05-18T12:57:58.000Z,1779089340827,1
QC_IN_408-3214790-8742717,TMK6,2026-05-18T13:01:41.000Z,1779089758893,11
QC_IN_404-8514596-8494759,TMK6,2026-05-18T13:02:33.000Z,1779089680121,3
QC_IN_404-1402669-0069907,TMK6,2026-05-18T12:58:42.000Z,1779089735405,21
QC_IN_406-1187867-6957103,TMK6,2026-05-18T12:51:28.000Z,1779089281512,13
QC_IN_403-0871867-6586725,TML7,2026-05-18T13:01:22.000Z,1779089566755,7
QC_IN_402-2126581-0225951,TMK6,2026-05-18T13:00:49.000Z,1779089522725,2
QC_IN_402-0983407-4303535,TML7,2026-05-18T13:00:11.000Z,1779089479710,2
QC_IN_403-7253390-1479505,TML7,2026-05-18T12:57:33.000Z,1779089501900,11
QC_IN_171-4941961-3696341,TML7,2026-05-18T12:51:38.000Z,1779089040353,7
QC_IN_405-8747689-3361908,TML7,2026-05-18T12:59:19.000Z,1779089443598,2
QC_IN_405-0422766-0531562,TML7,2026-05-18T12:57:05.000Z,1779089306027,1
QC_IN_408-6719236-3944369,TML7,2026-05-18T12:55:37.000Z,1779089230722,1
QC_IN_405-8510083-5599512,TML7,2026-05-18T12:52:36.000Z,1779089140540,12
QC_IN_408-0325265-6422737,TMK6,2026-05-18T13:00:08.000Z,1779089455473,1
QC_IN_408-8432038-3386709,TML7,2026-05-18T12:59:44.000Z,1779089434633,1
QC_IN_405-6537222-8357145,TMK6,2026-05-18T12:57:32.000Z,1779089398063,5
QC_IN_406-2936136-5891538,TML7,2026-05-18T12:50:15.000Z,1779088877785,1
QC_IN_171-5207175-4438724,TMK6,2026-05-18T12:57:21.000Z,1779089347914,6
QC_IN_408-3894406-7779516,TML7,2026-05-18T12:51:34.000Z,1779088989987,4
QC_IN_406-3966424-6031550,TML7,2026-05-18T12:49:54.000Z,1779088876527,1
QC_IN_405-9589636-2553938,TML7,2026-05-18T12:54:41.000Z,1779089134290,1
QC_IN_405-1795769-0229141,TML7,2026-05-18T12:49:33.000Z,1779088909125,5
QC_IN_402-0589061-3925161,TML7,2026-05-18T12:51:53.000Z,1779089006135,1
QC_IN_403-6712012-4028337,TMK6,2026-05-18T12:50:49.000Z,1779088885049,1
QC_IN_404-1318871-3880308,TMK6,2026-05-18T12:49:42.000Z,1779089022735,10
QC_IN_402-2724613-8653942,TML7,2026-05-18T12:49:16.000Z,1779088806232,1
QC_IN_407-4910555-7066713,TMK6,2026-05-18T12:47:51.000Z,1779088775377,4
QC_IN_402-3502162-1395564,TML7,2026-05-18T12:49:23.000Z,1779088804244,1
QC_IN_404-3303992-0062722,TMK6,2026-05-18T12:45:15.000Z,1779088607387,4
QC_IN_405-6219278-3745904,TMK6,2026-05-18T12:40:38.000Z,1779088415486,9
QC_IN_405-6093607-4583546,TMK6,2026-05-18T12:47:12.000Z,1779088655044,1
QC_IN_171-5219947-5101139,TML7,2026-05-18T12:26:10.000Z,1779087480971,2
QC_IN_406-0607804-1455556,TML7,2026-05-18T12:45:16.000Z,1779088621477,7
QC_IN_408-2781462-8093944,TMK6,2026-05-18T12:43:41.000Z,1779088502793,2
QC_IN_405-5927581-0999564,TML7,2026-05-18T12:40:23.000Z,1779088420783,2
QC_IN_171-2082809-9105945,TML7,2026-05-18T12:36:41.000Z,1779088108447,3
QC_IN_403-8951208-3989124,TML7,2026-05-18T12:37:57.000Z,1779088244640,6
QC_IN_406-2215027-2257947,TML7,2026-05-18T12:44:26.000Z,1779088522707,1
QC_IN_408-5413482-6404347,TMK6,2026-05-18T12:44:44.000Z,1779088571919,4
QC_IN_407-9558564-4973112,TML7,2026-05-18T12:33:18.000Z,1779087947056,7
QC_IN_408-0335116-2297930,TML7,2026-05-18T12:33:32.000Z,1779087952464,9
QC_IN_171-5661124-8644306,TML7,2026-05-18T12:32:25.000Z,1779087828140,3
QC_IN_405-0059854-6062703,TML7,2026-05-18T12:26:35.000Z,1779087870315,13
QC_IN_402-6485682-1415567,TML7,2026-05-18T12:22:29.000Z,1779087357440,5
QC_IN_405-6420305-1321906,TMK6,2026-05-18T12:35:03.000Z,1779088046718,5
QC_IN_406-5167006-2802718,TMK6,2026-05-18T12:35:17.000Z,1779088043672,1
QC_IN_171-9006795-2646735,TMK6,2026-05-18T12:17:13.000Z,1779086874213,1
QC_IN_407-4436788-5058738,TML7,2026-05-18T12:28:46.000Z,1779087599224,1
QC_IN_408-5270559-2145145,TML7,2026-05-18T12:26:11.000Z,1779087796929,12
QC_IN_402-2981940-6701165,TML7,2026-05-18T12:32:01.000Z,1779087802769,3
QC_IN_407-6947264-2101950,TML7,2026-05-18T12:25:43.000Z,1779087478676,1
QC_IN_407-9452952-0951516,TMK6,2026-05-18T12:30:16.000Z,1779087697922,2
QC_IN_407-4247366-5451568,TML7,2026-05-18T12:25:20.000Z,1779087539554,5
QC_IN_406-3052724-0149114,TML7,2026-05-18T12:25:33.000Z,1779087464008,2
QC_IN_406-0798400-2308353,TMK6,2026-05-18T12:29:28.000Z,1779087637876,2
QC_IN_406-2745085-9760322,TMK6,2026-05-18T12:25:07.000Z,1779087448226,5
QC_IN_405-4496532-8022746,TML7,2026-05-18T12:30:04.000Z,1779087699856,4
QC_IN_408-4036865-2106742,TML7,2026-05-18T12:21:34.000Z,1779087255193,6
QC_IN_171-1299135-7387533,TML7,2026-05-18T12:23:58.000Z,1779087383636,1
QC_IN_171-1745704-5358720,TMK6,2026-05-18T12:25:27.000Z,1779087491745,24
QC_IN_403-5424748-4853950,TML7,2026-05-18T12:23:23.000Z,1779087494814,9
QC_IN_402-3366847-1182701,TML7,2026-05-18T12:21:03.000Z,1779087328606,1
QC_IN_404-8279882-5782758,TML7,2026-05-18T12:21:58.000Z,1779087410530,10
QC_IN_403-3698724-4065106,TMK6,2026-05-18T12:23:34.000Z,1779087247502,2
QC_IN_404-2814597-0395524,TMK6,2026-05-18T12:15:57.000Z,1779086905742,1
QC_IN_402-9914598-9221147,TML7,2026-05-18T12:22:44.000Z,1779087410031,10
QC_IN_405-3851981-1831534,TMK6,2026-05-18T12:27:56.000Z,1779087605521,3
QC_IN_408-8035529-3034728,TML7,2026-05-18T12:22:19.000Z,1779087304350,5
QC_IN_171-0509101-7475536,TML7,2026-05-18T12:14:04.000Z,1779086692980,1
QC_IN_404-7667827-2274746,TMK6,2026-05-18T12:24:41.000Z,1779087490952,9
QC_IN_407-5707879-3231504,TML7,2026-05-18T12:17:22.000Z,1779086984721,1
QC_IN_171-0808972-2573145,TML7,2026-05-18T12:16:46.000Z,1779086896901,1
QC_IN_408-6841496-6254708,TMK6,2026-05-18T12:18:24.000Z,1779087157901,4
QC_IN_408-0306028-0237963,TMK6,2026-05-18T12:20:54.000Z,1779087208707,3
QC_IN_405-9855455-2813161,TMK6,2026-05-18T12:24:47.000Z,1779087322726,1
QC_IN_407-2909160-0178710,TMK6,2026-05-18T12:20:24.000Z,1779087107744,4
QC_IN_403-5152153-8550729,TMK6,2026-05-18T12:17:42.000Z,1779086912230,2
QC_IN_408-3952603-3668316,TML7,2026-05-18T12:17:38.000Z,1779086926884,2
QC_IN_406-0795769-2779506,TMK6,2026-05-18T12:18:10.000Z,1779087031721,7
QC_IN_405-8552103-6717914,TMK6,2026-05-18T12:16:30.000Z,1779086853414,1
